pkt_rate,pkt_delay,byte_rate,last_pkt,fid,num_pkt,first_pkt,des_add,pkt_in,duration_1,byte_count,duration_2,pkt_out,pkt_sz,is_broadcast,label
863.7096774193549,0.001157796451914099,36275.8064516129,1750263513.757982,5946401757452303268,14994,1750263496.3979821,10.0.0.6,14994,17.36,629748,17.36,14994,42.0,0,icmp_fl
122444.95781438329,8.166934905689783e-06,5142688.2282040985,1750263523.723354,-2090306548836280252,1219062,1750263513.767354,10.0.0.17,1219062,9.956,51200604,9.956,1219062,42.0,0,icmp_fl
4.017677782241864,0.24889999999999998,168.7424668541583,1750263523.723354,5946401757452303268,40,1750263513.767354,10.0.0.6,40,9.956,1680,9.956,40,42.0,0,icmp_fl
890.4058926865349,0.0011230833131425013,37397.04749283446,1750263523.723354,-4184845446089494923,28891,1750263491.276354,10.0.0.255,28891,32.447,1213422,32.447,28891,42.0,1,smurf
546.1659414195341,0.0018309453668987681,22938.969539620433,1750263523.723354,5946401757452303268,14936,1750263496.3763542,10.0.0.6,14936,27.347,627312,27.347,14936,42.0,0,icmp_fl
893.3029247696243,0.0011194410902190788,37518.72284032422,1750263523.761543,-4184845446089494923,28985,1750263491.314543,10.0.0.255,28985,32.447,1217370,32.447,28985,42.0,1,smurf
547.5460122699386,0.0018263305322128852,22996.932515337423,1750263523.761543,5946401757452303268,14994,1750263496.377543,10.0.0.6,14994,27.384,629748,27.384,14994,42.0,0,icmp_fl
135.5710109867957,0.007376208178438661,5693.982461445419,1750263523.774881,-2090306548836280252,1345,1750263513.853881,10.0.0.17,1345,9.921,56490,9.921,1345,42.0,0,icmp_fl
2256.6273561132953,0.0004431391817044845,94778.3489567584,1750263523.774881,5946401757452303268,22388,1750263513.853881,10.0.0.6,22388,9.921,940296,9.921,22388,42.0,0,icmp_fl
893.2753944773175,0.0011194755908228394,37517.56656804734,1750263523.774881,-4184845446089494923,28985,1750263491.326881,10.0.0.255,28985,32.448,1217370,32.448,28985,42.0,1,smurf
542.0389048991354,0.0018448860237921182,22765.634005763688,1750263523.774881,5946401757452303268,15047,1750263496.014881,10.0.0.6,15047,27.76,631974,27.76,15047,42.0,0,icmp_fl
136.05098118551487,0.0073501858736059475,5714.1412097916245,1750263533.705907,-2090306548836280252,1345,1750263523.8199072,10.0.0.17,1345,9.886,56490,9.886,1345,42.0,0,icmp_fl
4270.6858183289505,0.00023415442918048315,179368.80436981592,1750263533.705907,5946401757452303268,42220,1750263523.8199072,10.0.0.6,42220,9.886,1773240,9.886,42220,42.0,0,icmp_fl
122605.0487780348,8.156270968990912e-06,5149412.048677462,1750263533.71723,-2090306548836280252,1219062,1750263523.77423,10.0.0.17,1219062,9.943,51200604,9.943,1219062,42.0,0,icmp_fl
4.022930705018606,0.248575,168.96308961078145,1750263533.71723,5946401757452303268,40,1750263523.77423,10.0.0.6,40,9.943,1680,9.943,40,42.0,0,icmp_fl
122297.55216693418,8.176778539565667e-06,5136497.191011236,1750263543.717959,-2090306548836280252,1219062,1750263533.749959,10.0.0.17,1219062,9.968,51200604,9.968,1219062,42.0,0,icmp_fl
4.012841091492777,0.2492,168.53932584269663,1750263543.717959,5946401757452303268,40,1750263533.749959,10.0.0.6,40,9.968,1680,9.968,40,42.0,0,icmp_fl
134.93178170144463,0.007411152416356878,5667.134831460674,1750263543.728809,-2090306548836280252,1345,1750263533.7608092,10.0.0.17,1345,9.968,56490,9.968,1345,42.0,0,icmp_fl
6272.772873194222,0.0001594191309354359,263456.4606741573,1750263543.728809,5946401757452303268,62527,1750263533.7608092,10.0.0.6,62527,9.968,2626134,9.968,62527,42.0,0,icmp_fl
122420.36553524804,8.168575511335765e-06,5141655.352480418,1750263553.71868,-2090306548836280252,1219062,1750263543.76068,10.0.0.17,1219062,9.958,51200604,9.958,1219062,42.0,0,icmp_fl
4.016870857601928,0.24895,168.70857601928097,1750263553.71868,5946401757452303268,40,1750263543.76068,10.0.0.6,40,9.958,1680,9.958,40,42.0,0,icmp_fl
135.06728258686482,0.007403717472118959,5672.825868648323,1750263553.72936,-2090306548836280252,1345,1750263543.7713602,10.0.0.17,1345,9.958,56490,9.958,1345,42.0,0,icmp_fl
8338.521791524403,0.0001199253326910339,350217.9152440249,1750263553.72936,5946401757452303268,83035,1750263543.7713602,10.0.0.6,83035,9.958,3487470,9.958,83035,42.0,0,icmp_fl
135.50272012895425,0.007379925650557621,5691.114245416079,1750263563.690649,-2090306548836280252,1345,1750263553.764649,10.0.0.17,1345,9.926,56490,9.926,1345,42.0,0,icmp_fl
