pkt_rate,pkt_delay,byte_rate,last_pkt,fid,num_pkt,first_pkt,des_add,pkt_in,duration_1,num_byte,duration_2,pkt_out,pkt_sz,is_broadcast,label
18363.06612188525,5.445713658941694e-05,771248.7771191805,1750303997.453455,8729434329996818763,638190,1750303962.699455,10.0.0.255,638190,34.754,26803980,34.754,638190,42.0,1,smurf
19762.71722867994,5.0600329318520306e-05,830034.1236045575,1750303997.823502,8729434329996818763,686873,1750303963.067502,10.0.0.255,686873,34.756,28848666,34.756,686873,42.0,1,smurf
13971.475160829163,7.157440345337543e-05,586801.9567548248,1750304006.47309,8729434329996818763,625475,1750303961.70509,10.0.0.255,625475,44.768,26269950,44.768,625475,42.0,1,smurf
15376.072194424589,6.50361150335001e-05,645795.0321658327,1750304007.887338,8729434329996818763,688356,1750303963.119338,10.0.0.255,688356,44.768,28910952,44.768,688356,42.0,1,smurf
18201.746744399028,5.4939782101281914e-05,764473.3632647591,1750304009.290248,8729434329996818763,814874,1750303964.5212479,10.0.0.255,814874,44.769,34224708,44.769,814874,42.0,1,smurf
16797.248095780564,5.9533561348730575e-05,705484.4200227837,1750304009.493751,8729434329996818763,751996,1750303964.724751,10.0.0.255,751996,44.769,31583832,44.769,751996,42.0,1,smurf
19605.39188313864,5.100637650910905e-05,823426.4590918228,1750304010.076005,8729434329996818763,877753,1750303965.305005,10.0.0.255,877753,44.771,36865626,44.771,877753,42.0,1,smurf
15556.626179005225,6.428129007493741e-05,653378.2995182194,1750304013.526604,8729434329996818763,229258,1750303998.789604,10.0.0.255,229258,14.737,9628836,14.737,229258,42.0,1,smurf
14291.238383875267,6.997294238183691e-05,600232.0121227612,1750304019.023569,8729434329996818763,782774,1750303964.250569,10.0.0.255,782774,54.773,32876508,54.773,782774,42.0,1,smurf
15699.99817428295,6.369427492278495e-05,659399.9233198839,1750304020.031994,8729434329996818763,859936,1750303965.258994,10.0.0.255,859936,54.773,36117312,54.773,859936,42.0,1,smurf
18535.345236791178,5.3950977833155216e-05,778484.4999452295,1750304021.095029,8729434329996818763,1015255,1750303966.3210292,10.0.0.255,1015255,54.774,42640710,54.774,1015255,42.0,1,smurf
19943.6969420356,5.014115501786865e-05,837635.2715654952,1750304021.393778,8729434329996818763,1092416,1750303966.618778,10.0.0.255,1092416,54.775,45881472,54.775,1092416,42.0,1,smurf
17126.960363682836,5.838747674809055e-05,719332.3352746791,1750304021.438015,8729434329996818763,938095,1750303966.665015,10.0.0.255,938095,54.773,39399990,54.773,938095,42.0,1,smurf
15930.58866308432,6.277231941323568e-05,669084.7238495414,1750304024.667588,8729434329996818763,394298,1750303999.916588,10.0.0.255,394298,24.751,16560516,24.751,394298,42.0,1,smurf
13857.943319338106,7.216078006355727e-05,582033.6194122005,1750304031.768364,8729434329996818763,897773,1750303966.984364,10.0.0.255,897773,64.784,37706466,64.784,897773,42.0,1,smurf
15280.748332921708,6.544182118656738e-05,641791.4299827117,1750304032.869761,8729434329996818763,989948,1750303968.085761,10.0.0.255,989948,64.784,41577816,64.784,989948,42.0,1,smurf
18148.416275623607,5.510122673035493e-05,762233.4835761916,1750304033.669964,8729434329996818763,1175727,1750303968.8859642,10.0.0.255,1175727,64.784,49380534,64.784,1175727,42.0,1,smurf
19570.903758586093,5.109626067019428e-05,821977.9578606159,1750304033.93958,8729434329996818763,1267901,1750303969.1545799,10.0.0.255,1267901,64.785,53251842,64.785,1267901,42.0,1,smurf
16725.106120243883,5.979035306625714e-05,702454.4570502432,1750304034.198221,8729434329996818763,1083536,1750303969.413221,10.0.0.255,1083536,64.785,45508512,64.785,1083536,42.0,1,smurf
15544.599182827877,6.433102508713768e-05,652873.1656787709,1750304036.315964,8729434329996818763,540237,1750304001.561964,10.0.0.255,540237,34.754,22689954,34.754,540237,42.0,1,smurf
